,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297
Unnamed: 0,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22
中国,0,3,3,3,3,3,3,3,3,3,3,12,12,12,12,18,18,21,24,27,42,54,63,87,90,99,105,111,111,111,111,120,129,132,123,123,123,123,123,123,123,123,123,123,123,123,123,135,186,440,673,582,930,1262,2514,3891,5869,8259,13587,17941,23095,29128,35433,43198,51617,61356,72925,84016,93563,100443,108983,117726,125674,132205,162439,187771,197098,203745,209864,215698,221082,224483,226678,228793,230100,231584,232839,234177,235467,236562,237752,239342,240332,240791,241159,241566,242012,242373,242545,242688,242766,242855,242953,242990,243036,243128,243210,243332,243442,243658,243864,244221,244454,244771,245187,245501,245819,246193,246591,246964,247316,247597,247847,248139,248378,248608,248759,248977,249181,249411,249688,249873,250079,250364,250718,250999,251190,251345,252096,252517,252587,252699,252739,252852,252898,252927,252964,253006,253020,253035,253101,253107,253119,253161,253173,253179,253209,253212,253221,253242,253248,253248,253305,253350,253353,253383,253395,253413,253434,253461,253482,253509,253518,253548,253566,253566,253575,253608,253629,253635,253641,253683,253707,253716,253779,253809,253806,253824,253851,253872,253890,253905,253915,253921,253957,253987,254013,254217,254350,254479,254634,254727,254829,254913,255006,255168,255258,255312,255402,255453,255522,255579,255627,255687,255780,255819,255852,255897,255951,256011,256077,256170,256323,256455,256557,256680,256860,257013,257088,257298,257520,257763,258138,258423,258639,259020,259443,259908,260379,260901,261531,262068,262725,263490,264231,264762,265251,265618,265959,266301,266700,267078,267384,267663,268023,268248,268521,268785,269022,269232,269511,269718,269889,270021,270111,270240,270387,270498,270573,270675,270792,270876,270942,271029,271110,271185,271242,271293,271353,271467,271524,271617,271692,271740,271764,271824,271911,271971,272055,272088,272166,272232,272304,272400,272490,272592,272655,272694
日本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,3,4,7,8,11,11,11,11,11,0,0,45,86,89,89,155,163,203,251,253,326,413,519,616,696,725,740,763,838,850,862,894,918,938,947,961,980,999,1032,1056,1112,1157,1190,522,611,628,690,724,786,818,835,880,919,956,1016,1054,1101,1138,1209,1302,1398,1507,1697,1884,1958,2212,2494,2720,3111,3456,3854,4065,4340,4914,5548,6134,6854,7423,7674,8167,8640,9296,9827,10433,10806,11152,11543,11992,12423,12724,13191,13438,13613,13889,14116,14300,14566,14877,15077,15253,15374,15477,15574,15662,15777,15847,15892,16049,16103,16203,16253,16310,16337,16367,16394,16433,16518,16543,16569,16569,16623,16662,16696,16734,16833,16877,16912,16949,17000,17019,17078,17118,17118,17164,17223,17268,17306,17347,17409,17409,17529,17601,17644,17689,17759,17760,17881,17937,17982,17982,18130,18130,18315,18406,18521,18522,18769,18769,19090,19326,19326,19821,19996,20209,20209,20767,21179,21582,21991,22252,22583,23008,23657,24235,24916,24916,25844,26436,27270,28200,28984,29782,30656,31611,32244,33474,34809,36366,37925,37925,40215,40217,42804,44286,45895,47464,48817,49746,50444,50448,52602,53961,55193,56014,56214,57761,58848,63300,61065,62758,62046,63283,63284,64002,65763,66638,67483,68880,68516,69151,70455,70405,70993,70994,72037,72321,72321,73337,74026,74686,74686,75334,75774,76571,76571,77610,78182,78782,79260,79571,79571
泰国,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,3,4,4,7,8,14,14,14,14,14,14,14,0,0,25,25,32,32,32,32,33,33,33,33,34,35,35,35,35,35,35,35,35,37,40,40,40,42,42,43,43,43,47,48,50,50,50,53,59,70,75,82,114,147,177,212,272,322,411,599,721,827,934,1045,1136,1245,1388,1524,1651,1771,1875,1978,2067,2169,2220,2258,2369,2423,2473,2518,2551,2579,2613,2643,2672,2700,2733,2765,2792,2811,2826,2839,2854,2907,2922,2931,2938,2947,2954,2960,2966,2969,2987,2988,2989,2992,3000,3004,3009,3015,3017,3017,3018,3025,3025,3028,3031,3033,3034,3037,3037,3040,3040,3042,3045,3054,3065,3076,3077,3081,3082,3083,3084,3101,3102,3104,3112,3119,3121,3125,3125,3129,3134,3135,3135,3135,3135,3141,3146,3147,3148,3151,3156,3157,3158,3162,3162,3162,3169,3171,3173,3179,3180,3185,3190,3195,3195,3197,3202,3202,3216,3217,3220,3227,3232,3236,3239,3246,3249,3250,3255,3261,3269,3279,3282,3291,3295,3297,3298,3304,3310,3312,3317,3320,3321,3328,3330,3345,3348,3351,3351,3351,3356,3359,3376,3376,3377,3378,3381,3382,3389,3390,3390,3395,3397,3402,3403,3404,3410,3411,3411,3412,3417,3425,3427,3431,3438,3444,3445,3446,3447,3454,3461,3466,3473,3473,3480,3490,3490,3497,3500,3506,3506,3511
韩国,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,4,6,6,6,6,6,0,0,24,24,24,27,27,28,28,28,28,28,29,30,31,51,104,204,433,602,833,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7313,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8897,8961,9037,9137,9241,9332,9478,9583,9661,9786,9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694,10702,10708,10718,10728,10738,10752,10761,10765,10774,10780,10793,10801,10804,10806,10810,10822,10840,10874,10909,10936,10962,10991,11018,11037,11050,11065,11078,11110,11122,11142,11165,11190,11206,11225,11265,11344,11402,11441,11468,11503,11541,11590,11629,11668,11719,11776,11814,11852,11902,11947,12003,12051,12085,12121,12155,12198,12257,12306,12373,12421,12438,12484,12535,12563,12602,12653,12715,12757,12800,12850,12904,12967,13030,13091,13137,13181,13244,13293,13338,13373,13417,13479,13512,13551,13612,13672,13711,13745,13771,13816,13879,13938,13979,14092,14150,14175,14175,14251,14269,14305,14336,14366,14389,14422,14456,14499,14519,14562,14598,14626,14660,14714,14770,14770,15039,15318,15515,15761,16058,16346,16670,17002,17399,17665,17945,18265,18706,19077,19400,19699,19947,20182,20449,20644,20842,21010,21177,21296,21432,21588,21743,21919,22055,22176,22285,22391,22504,22657,22783,22893,22975,23045,23106
美国,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,5,5,5,5,5,5,5,0,0,12,12,12,12,12,13,13,14,15,15,15,15,15,15,15,15,34,34,34,53,57,60,60,64,69,89,106,126,161,233,338,445,572,717,1004,1323,1832,2291,2995,3782,5073,6536,10525,14387,19624,27111,39183,46450,55231,69197,86012,104860,124868,143724,165764,189753,216722,255456,288993,312249,337300,374782,400549,431694,469464,503177,529112,556569,587815,614726,650833,679766,709036,740151,765738,792846,825041,849094,886709,929028,960896,987916,1012147,1036417,1065739,1099275,1134059,1163372,1191849,1214023,1239847,1265212,1293907,1324352,1349599,1369943,1388283,1411148,1433375,1460902,1487065,1509444,1531737,1552304,1571328,1595318,1622337,1648283,1668493,1689581,1709388,1728954,1749160,1771631,1796810,1819788,1839679,1861474,1882478,1904976,1926269,1969406,1990602,2008792,2028040,2047147,2068139,2092132,2117027,2143648,2163338,2183994,2209837,2235734,2265319,2299166,2332056,2357667,2390267,2425507,2464544,2506370,2554807,2597742,2640080,2684231,2730803,2782346,2838922,2892476,2936904,2986190,3041969,3098237,3160284,3223797,3293532,3357928,3415554,3480097,3549519,3619663,3698392,3772876,3836674,3901026,3963376,4030200,4103674,4171378,4251125,4317400,4374785,4434185,4498887,4569192,4638288,4708522,4766323,4816804,4864227,4920917,4975284,5033723,5098494,5150879,5201057,5253765,5309622,5360488,5418045,5478009,5533161,5569520,5613357,5657561,5702837,5747544,5800457,5843140,5874295,5918213,5956661,6002092,6049462,6097710,6140096,6175600,6213751,6260020,6291776,6336189,6390240,6434526,6461353,6486426,6515506,6550824,6593153,6640699,6678149,6708458,6750105,6788471,6829951,6877617,6929395,6972163,7005893,7046444
新加坡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,7,10,10,10,10,10,10,0,0,28,33,33,43,45,47,50,58,67,67,72,77,81,84,85,85,89,89,90,90,93,93,93,102,102,106,110,112,117,130,138,150,160,166,178,186,200,200,226,243,266,313,345,385,432,455,509,558,631,707,732,802,844,879,926,1000,1049,1114,1189,1309,1309,1481,1623,1910,2108,2108,2229,2532,3252,3699,3699,5050,5992,6588,8014,9125,10141,11178,12075,12693,13624,14423,14951,15641,16169,17101,17548,18205,18778,19410,20198,20939,21707,22460,23336,23822,24671,25346,26098,26891,27356,28038,28343,28794,29364,29812,30426,31068,31616,31960,32343,32876,33249,33860,34366,34884,35292,35836,36405,36922,37183,37527,37910,38296,38514,38965,39387,39850,39850,40604,40818,40969,41216,41473,41615,41833,42095,42313,42432,42623,42736,42955,43246,43459,43661,43907,44122,44310,44479,44664,44800,44983,45140,45298,45423,45614,45783,45961,46283,46630,46878,47126,47453,47655,47912,48035,48434,48744,49098,49375,49888,50369,50838,51197,51531,51809,52205,52512,52825,53051,53346,54254,54555,54797,54929,55104,55292,55353,55395,55497,55580,55661,55747,55838,55938,56031,56099,56216,56266,56353,56404,56435,56495,56572,56666,56717,56771,56812,56852,56901,56908,56948,56982,57022,57044,57091,57166,57229,57316,57357,57406,57406,57488,57515,57532,57543,57558,57576,57607,57627
越南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,10,12,13,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,30,30,34,38,44,47,53,53,60,66,68,76,85,94,106,123,132,134,153,163,174,188,194,207,212,227,237,239,241,245,249,251,255,257,258,260,265,266,267,267,268,268,268,268,268,268,268,270,270,270,270,270,270,270,270,270,271,271,271,271,288,288,288,288,288,288,288,288,312,318,320,324,324,324,324,324,324,325,326,327,327,327,327,328,328,328,328,328,328,328,329,329,332,332,332,332,333,334,334,334,334,335,341,349,349,349,349,349,352,352,353,355,355,355,355,355,355,355,355,355,369,369,369,369,369,370,372,372,373,381,381,382,382,383,384,396,408,412,413,417,420,431,438,450,464,546,586,620,642,670,713,747,784,797,841,847,863,880,905,929,950,962,976,989,993,1007,1009,1014,1016,1022,1029,1034,1036,1038,1040,1040,1044,1044,1046,1046,1049,1049,1049,1049,1054,1059,1059,1060,1060,1060,1063,1063,1063,1066,1068,1068,1068,1068,1068
法国,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,5,5,5,5,5,0,0,6,6,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,17,18,41,73,100,130,204,257,377,577,716,949,1209,1606,1784,2284,2876,3667,4500,5423,6664,7730,9134,11010,12632,14485,16928,20149,22633,25600,29566,32964,38105,40723,45170,52836,57780,59929,83029,90853,93780,98984,110070,113965,118790,125931,130730,133670,137877,143303,147863,107778,147969,152978,154097,156493,159297,159877,159460,159828,161644,162220,165963,169052,169053,167299,167346,168396,168693,169583,170687,174224,174918,176079,176658,176970,177423,178225,178060,178870,179506,179630,179693,180051,180809,181575,181826,182219,182469,182584,182942,182722,182913,186238,186835,188625,188882,189220,189220,151677,152444,153055,153634,153977,154188,154591,155136,155561,156287,156813,157220,157372,157716,158174,158641,159452,160093,160377,160750,161267,161348,161348,162936,162936,162936,164260,164801,165719,166378,166960,166960,166960,168335,168810,169473,170094,170752,170752,170752,172377,172377,173304,173838,174674,174674,174674,176754,177338,178336,179398,180528,180528,180528,183079,183804,185196,186573,187919,187919,187919,191295,192334,194029,195633,197921,197921,197921,202775,204172,206696,209365,212211,215521,218536,219029,221267,225043,229814,234400,238002,242899,244854,248158,253587,259698,267077,272530,277943,281025,286007,293024,300181,309156,317706,324777,328980,335524,344101,353944,363350,373911,381094,387252,395104,404888,415481,428696,442194,452763,458061
尼泊尔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,5,5,5,6,6,9,9,9,9,9,9,9,9,12,14,16,16,16,16,30,31,31,32,43,48,48,49,52,52,54,57,57,59,59,75,75,82,99,99,102,109,110,134,191,219,246,258,278,292,357,402,427,453,507,584,603,682,772,886,1042,1212,1401,1567,1811,2099,2300,2634,2912,3235,3235,3762,4086,4364,4614,5062,5335,5760,6211,6591,7177,7848,8274,8605,9026,9561,10099,10728,11162,11755,12309,12772,13248,13564,14046,14519,15259,15491,15784,15964,16168,16423,16531,16649,16719,16801,16945,17061,17177,17344,17445,17502,17658,17844,17994,18094,18241,18374,18483,18613,18752,19063,19273,19547,19771,20086,20332,20750,21009,21390,21750,22214,22592,22972,23310,23948,24432,24957,25551,26019,26660,27241,28257,28938,29645,30483,31117,31935,32678,33533,34418,35529,36456,37340,38561,39460,40529,41649,42877,44236,45277,46257,47236,48138,49219,50465,51919,53120,53120,54159,56788,56788,59573,61593,62797,64122,65276,65276
